Sorterings ID	Data type	Navn DE/ENG	Navn DK	UUID	Global Opvarmning, modul A1-A3	Global Opvarmning, modul C3	Global Opvarmning, modul C4	Global Opvarmning, modul D	Deklareret faktor (FU)	Deklareret enhed (FU)	Masse faktor	Masse enhed	Url (link)	Kommentar	RVT2024
#G0149	Generisk data	Kunstharzestrich	Afretningslag, hårdeplast	cb07a54a-f9aa-5139-840b-03db8db822e5	0,31541417	0	0,017601035	0	1	kg	1800	kg/m³	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/8f060568-aca6-4375-86f4-340b806962c4?version=20.23.050		
#G1057	Generisk data	Klimagerät (direktverdampfer) (pro 1 kw)	Aircondition (direkte fordamper) (per 1 kW)	4e027c0a-b06c-5003-ae4a-cc13b31f4ef9	45,50405807	2,933939343	0,512252197	-19,22839213	1	stk	13,4	kg/stk.	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/9da0974d-cd0c-402f-a72e-ee07f2da68d6?version=20.23.050		
#G0956	Generisk data	Gussteile aus aluminium	Aluminium, støbegods	105a2244-c406-5ac7-8695-d1e2b2ed0e8f	11,00942232	0	0	-7,276583378	1	kg	2700	kg/m³	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/568f2c96-2d04-43ff-bf03-8e48de9f11ff?version=20.23.050		
#G0625	Generisk data	Aluminiumfolie (d=0,1 mm)	Aluminiumsfolie (d=0,1 mm)	3956c273-6549-57a3-a889-1ba0b51832e4	3,116980653	0	0	-2,037443346	1	M2	0,28	kg/m²	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/0fdc2fd3-fe48-499f-9158-74a6cc7185dc?version=20.23.050		
#G0452	Generisk data	Aluminiumblech	Aluminiumsplade	a1dbf112-7b04-5e88-9bf8-380a14e48f84	10,53435336	0	0	-7,276583378	1	kg	2700	kg/m³	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/f0f13788-bc1b-44d4-9f37-082a6d22b432?version=20.23.050		120
#G0333	Generisk data	Aluminium Profil	Aluminiumsprofil	f181bb37-59db-5203-897e-b3b4da47173d	10,69776577	0	0	-7,276583378	1	kg	2700	kg/m³	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/fdc99ab8-d843-44ec-a66c-92367d244321?version=20.23.050		
#G0484	Generisk data	Ammoniak (r717)	Ammoniak (R717)	8dd8910c-0a03-557f-b4d2-7b9ed709ce72	2,529927742	0	0	-2,096017051	1	kg	1	kg/kg	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/2b3bf368-34e6-4e7c-917e-6f455d4c4bb8?version=20.23.050		
#G0558	Generisk data	Asphalttragschicht	Asfalt, bærelag	fff4fb8e-9d9a-53fc-be3a-2573ad3321a1	0,073316331	0	0	-0,017009508	1	kg	2350	kg/m³	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/f34786e7-0953-4085-9f3d-955481cdd4ea?version=20.23.050		
#G0392	Generisk data	Fenster-beschlag für drehkippfenster (aluminium)	Beslag til dreje-kip vinduer (aluminium)	6e60c01d-bb86-5504-9dbd-b2963095e119	13,75013773	0	0	-7,675627783	1	stk	1,65	kg/stk.	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/8dc96f29-ec8d-43ba-ba08-a2362003078a?version=20.23.050		
#G0644	Generisk data	Fenster-beschlag für vertikales schiebefenster	Beslag til lodrette skydevinduer	2ac87707-ca69-5b6d-86e8-d230a8bc3816	11,88048655	0	0	-5,648824201	1	stk	0,932	kg/stk.	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/67331443-825b-4e74-87bb-27d5a55dd159?version=20.23.050		
#G1071	Generisk data	Fenster-beschlag für horizontales schiebefenster	Beslag til vandrette skydevinduer	451fa084-4d91-5678-88d4-08d7e9ee210a	6,140931944	0	0	-3,428359361	1	stk	0,696	kg/stk.	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/640ca097-4329-47d0-a762-7ed858239c3a?version=20.23.050		
#G0147	Generisk data	Beschlagverbund fenster stahl	Beslag, stålvindue	c5939aa5-cffa-5b48-8a15-1596965255fb	9,676078193	0	0	-4,794822978	1	stk	2,63	kg/stk.	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/b6e9b76b-5be6-4b7b-be40-c32da896190f?version=20.23.050		
#B1385	Branche data	-	Beton vægelementer, 15 cm tyk væg med 5-15 kg armering (11% udsparinger)	02d2f058-cfed-4732-8730-e212bb8e7d5f	53,1	0,965	0,7	-0,787	1	M2	320,9	kg/m²	https://www.epddanmark.dk/media/oq0dzm1j/md-20015-da_rev1-betonelement-foreningen.pdf		
#B1393	Branche data	-	Beton vægelementer, 20 cm tyk væg med 16-25 kg armering (11% udsparinger)	97e29fb3-c8c3-57bf-a8b1-d823af2a3256	73,2	1,29	0,932	-1,08	1	M2	433,9	kg/m²	https://www.epddanmark.dk/media/oq0dzm1j/md-20015-da_rev1-betonelement-foreningen.pdf		
